year,county,race,population,misdemeanor,felony,arrest_count
2005,Alameda,All Combined,1459881,0.974702951,0.905685619,57366
2005,Alameda,Black,194929,2.258719816,3.200668896,21018
2005,Alameda,White,548204,0.896512074,0.567892977,17605
2005,Alameda,Hispanic,304762,1.149099272,0.922408027,13447
2005,Alameda,Asian/Pacific Islander,359035,0.231506324,0.190635452,3219
2005,All Combined,All Combined,35985595,1.000383289,1.000668896,1508210
2005,All Combined,Black,2220261,2.373706401,3.42006689,254977
2005,All Combined,White,15716047,0.910693752,0.768561873,561743
2005,All Combined,Hispanic,12667798,1.123035646,1.138461538,604534
2005,All Combined,Asian/Pacific Islander,4436086,0.226140284,0.22006689,41538
2005,Alpine,All Combined,1210,3.041011882,1.989966555,132
2005,Alpine,White,873,3.556151782,1.685618729,103
2005,Amador,All Combined,37723,1.229589881,1.409364548,2005
2005,Amador,Black,1262,0.85051744,0.74180602,42
2005,Amador,White,30609,1.247221158,1.457525084,1663
2005,Amador,Hispanic,4061,1.293215791,1.251505017,213
2005,Butte,All Combined,213701,1.391337677,0.745150502,10149
2005,Butte,Black,2953,4.802606363,3.782608696,538
2005,Butte,White,167157,1.432732848,0.741137124,8111
2005,Butte,Hispanic,25945,1.277884247,0.652173913,1118
2005,Butte,Asian/Pacific Islander,8305,0.553852051,0.474916388,179
2005,Calaveras,All Combined,44774,1.308930625,0.799331104,2067
2005,Calaveras,Black,349,2.855500192,2.491638796,39
2005,Calaveras,White,38312,1.27136834,0.773244147,1716
2005,Calaveras,Hispanic,3908,1.6868532,1.026755853,233
2005,Colusa,All Combined,20565,1.552702185,1.337123746,1258
2005,Colusa,Black,136,6.200076658,16.72240803,56
2005,Colusa,White,9110,1.577615945,1.417391304,569
2005,Colusa,Hispanic,10425,1.411651974,1.02006689,555
2005,Contra Costa,All Combined,1004229,0.638558835,0.843478261,29494
2005,Contra Costa,Black,91737,1.62322729,3.191304348,8290
2005,Contra Costa,White,535586,0.554235339,0.610702341,12684
2005,Contra Costa,Hispanic,211368,0.733614412,0.861538462,6784
2005,Contra Costa,Asian/Pacific Islander,131364,0.127635109,0.155183946,742
2005,Del Norte,All Combined,28316,1.824837102,1.480936455,1984
2005,Del Norte,White,19293,2.127635109,1.861538462,1615
2005,Del Norte,Hispanic,4473,0.505557685,0.448829431,89
2005,El Dorado,All Combined,173183,1.036795707,0.822073579,6835
2005,El Dorado,Black,1094,2.417401303,3.118394649,120
2005,El Dorado,White,142920,1.076274435,0.834782609,5808
2005,El Dorado,Hispanic,18576,1.025297049,0.878929766,750
2005,El Dorado,Asian/Pacific Islander,5224,0.300881564,0.307023411,65
2005,Fresno,All Combined,871912,1.329244921,1.353846154,48274
2005,Fresno,Black,43590,3.446914527,4.252173913,6719
2005,Fresno,White,319662,0.915293216,0.918394649,12156
2005,Fresno,Hispanic,411091,1.59831353,1.548494983,26850
2005,Fresno,Asian/Pacific Islander,78318,0.443464929,0.539799331,1563
2005,Glenn,All Combined,27523,2.368723649,1.581939799,2538
2005,Glenn,Black,153,5.010348793,8.743812709,40
2005,Glenn,White,16415,2.248754312,1.540468227,1472
2005,Glenn,Hispanic,9256,2.587964737,1.539130435,883
2005,Glenn,Asian/Pacific Islander,807,2.27980069,2.23812709,84
2005,Humboldt,All Combined,131689,1.757378306,0.976588629,8200
2005,Humboldt,Black,1233,3.388271368,3.634782609,178
2005,Humboldt,White,105533,1.825986968,1.001337793,6813
2005,Humboldt,Hispanic,10625,1.280567267,0.585284281,461
2005,Humboldt,Asian/Pacific Islander,2754,0.709850517,0.582608696,77
2005,Imperial,All Combined,157656,1.453430433,1.131772575,8692
2005,Imperial,Black,4978,1.693752396,1.451505017,334
2005,Imperial,White,26570,1.70640092,1.288963211,1700
2005,Imperial,Hispanic,121154,1.388654657,1.084280936,6388
2005,Imperial,Asian/Pacific Islander,2441,0.455346876,0.520401338,48
2005,Inyo,All Combined,18463,1.544653124,1.126421405,1057
2005,Inyo,White,13068,1.340360291,0.854849498,624
2005,Inyo,Hispanic,2946,1.300881564,1.339799331,160
2005,Kern,All Combined,761972,1.335760828,1.359197324,43157
2005,Kern,Black,42569,2.216941357,3.466220736,4744
2005,Kern,White,332598,1.16059793,1.170568562,16299
2005,Kern,Hispanic,338523,1.259486393,1.402006689,18761
2005,Kern,Asian/Pacific Islander,29653,0.330778076,0.371906355,429
2005,Kings,All Combined,144602,1.97776926,1.133779264,10589
2005,Kings,Black,11105,2.295132235,1.656187291,996
2005,Kings,White,57280,1.561134534,0.908361204,3296
