year,county,population,misdemeanor,felony
2005,Alameda,1459881,0.97,0.91
2005,Alpine,1210,3.04,1.99
2005,Amador,37723,1.23,1.41
2005,Butte,213701,1.39,0.75
2005,Calaveras,44774,1.31,0.8
2005,Colusa,20565,1.55,1.34
2005,Contra Costa,1004229,0.64,0.84
2005,Del Norte,28316,1.82,1.48
2005,El Dorado,173183,1.04,0.82
2005,Fresno,871912,1.33,1.35
2005,Glenn,27523,2.37,1.58
2005,Humboldt,131689,1.76,0.98
2005,Imperial,157656,1.45,1.13
2005,Inyo,18463,1.54,1.13
2005,Kern,761972,1.34,1.36
2005,Kings,144602,1.98,1.13
2005,Lake,63108,1.72,1.5
2005,Lassen,34529,1.03,0.7
2005,Los Angeles,9809556,0.87,1.01
2005,Madera,139868,0.86,0.82
2005,Marin,246688,0.91,0.53
2005,Mariposa,18057,1.58,0.93
2005,Mendocino,88014,1.75,1.37
2005,Merced,240600,1.62,1.45
2005,Modoc,9589,1.11,0.93
2005,Mono,13801,1.34,0.96
2005,Monterey,407973,1.15,0.86
2005,Napa,130740,1.2,0.77
2005,Nevada,97802,1.09,0.69
2005,Orange,2957151,0.84,0.69
2005,Placer,312632,0.82,0.92
2005,Plumas,20859,1.9,1.26
2005,Riverside,1934724,0.67,0.91
2005,Sacramento,1358169,0.94,1.24
2005,San Benito,55155,1.09,0.74
2005,San Bernardino,1942734,1.22,1.39
2005,San Diego,2970136,0.98,0.85
2005,San Francisco,779657,0.69,1.52
2005,San Joaquin,651625,1.45,1.44
2005,San Luis Obispo,259944,1.47,0.69
2005,San Mateo,699276,0.68,0.6
2005,Santa Barbara,411685,2.35,0.78
2005,Santa Clara,1699520,0.93,0.8
2005,Santa Cruz,254726,1.32,0.85
2005,Shasta,174252,1.33,0.95
2005,Sierra,3430,1.58,1.07
2005,Siskiyou,44944,1.55,1.11
2005,Solano,410570,0.95,0.98
2005,Sonoma,469523,1.24,0.82
2005,Stanislaus,498019,1.19,1.59
2005,Sutter,88106,1.04,0.9
2005,Tehama,60461,1.7,1.39
2005,Trinity,13789,1.08,1.32
2005,Tulare,408403,1.41,1.47
2005,Tuolumne,56452,1.35,1.07
2005,Ventura,796866,1.1,0.76
2005,Yolo,187353,1.14,1.18
2005,Yuba,67710,1.8,1.89
2006,Alameda,1464837,0.91,0.86
2006,Alpine,1255,2.57,1.24
2006,Amador,37966,1.09,1.02
2006,Butte,215684,1.44,0.76
2006,Calaveras,45314,1.23,0.82
2006,Colusa,20892,1.5,1.05
2006,Contra Costa,1010103,0.66,0.86
2006,Del Norte,28277,1.65,1.23
2006,El Dorado,175261,1.01,0.84
2006,Fresno,886376,1.35,1.36
2006,Glenn,27732,2.2,1.46
2006,Humboldt,132226,1.75,0.97
2006,Imperial,162535,1.4,1.09
2006,Inyo,18420,1.6,1.26
2006,Kern,786219,1.41,1.4
2006,Kings,147495,2.03,1.01
2006,Lake,63791,1.75,1.39
2006,Lassen,35013,0.93,0.57
2006,Los Angeles,9787326,0.87,1.02
2006,Madera,143526,0.95,0.91
2006,Marin,247245,0.87,0.54
2006,Mariposa,18246,1.38,0.75
2006,Mendocino,87584,1.8,1.37
2006,Merced,245556,1.68,1.48
2006,Modoc,9641,1.24,1.26
2006,Mono,14152,1.01,0.93
2006,Monterey,405877,1.09,0.86
2006,Napa,131921,1.05,0.78
2006,Nevada,98333,0.98,0.67
2006,Orange,2955432,0.84,0.68
2006,Placer,322269,0.86,0.94
2006,Plumas,20709,1.67,1.37
2006,Riverside,2017350,0.69,0.93
2006,Sacramento,1372276,0.89,1.24
2006,San Benito,54896,0.97,0.86
2006,San Bernardino,1976769,1.21,1.38
2006,San Diego,2982817,0.97,0.83
2006,San Francisco,782928,0.72,1.5
2006,San Joaquin,660886,1.43,1.49
2006,San Luis Obispo,261804,1.43,0.65
2006,San Mateo,699397,0.71,0.62
2006,Santa Barbara,412852,2.12,0.75
2006,Santa Clara,1713840,0.91,0.76
2006,Santa Cruz,255486,1.29,0.82
2006,Shasta,175240,1.5,0.84
2006,Sierra,3423,1.59,1.03
2006,Siskiyou,44889,1.54,1.19
2006,Solano,411351,1.23,1.27
2006,Sonoma,469967,1.32,0.81
2006,Stanislaus,503548,1.23,1.53
2006,Sutter,90629,1.02,0.93
2006,Tehama,61541,1.63,1.35
2006,Trinity,13824,1.3,1.12
2006,Tulare,416094,1.43,1.53
2006,Tuolumne,56557,1.17,0.98
2006,Ventura,801225,1.16,0.81
2006,Yolo,190810,1.08,1.18
2006,Yuba,69217,1.76,1.57
2007,Alameda,1476400,0.94,0.91
2007,Alpine,1249,1.95,0.78
2007,Amador,38085,1.05,0.97
2007,Butte,217113,1.55,0.88
2007,Calaveras,45638,1.17,0.9
2007,Colusa,21118,1.86,1.15
2007,Contra Costa,1021253,0.68,0.85
2007,Del Norte,28480,1.85,1.18
2007,El Dorado,177197,0.92,0.82
2007,Fresno,899828,1.33,1.41
2007,Glenn,28014,2.1,1.29
2007,Humboldt,132658,1.98,1.03
2007,Imperial,166895,1.38,1.18
2007,Inyo,18449,1.63,1.02
2007,Kern,805799,1.44,1.43
2007,Kings,150378,1.68,0.97
2007,Lake,63987,1.64,1.16
2007,Lassen,35749,0.83,0.68
2007,Los Angeles,9773893,0.89,1.04
2007,Madera,146808,1.02,0.99
2007,Marin,248801,0.95,0.55
2007,Mariposa,18375,1.33,0.91
2007,Mendocino,87645,1.73,1.31
2007,Merced,249541,1.57,1.38
2007,Modoc,9590,1.34,1.38
2007,Mono,14212,1.09,1.01
2007,Monterey,407896,1.11,0.92
2007,Napa,133156,1.01,0.86
2007,Nevada,98480,0.93,0.59
2007,Orange,2965823,0.83,0.68
2007,Placer,329718,0.87,0.92
2007,Plumas,20594,1.76,1.29
2007,Riverside,2082656,0.71,0.89
2007,Sacramento,1388087,0.84,1.13
2007,San Benito,55002,1,0.79
2007,San Bernardino,2002648,1.16,1.37
2007,San Diego,3014168,0.92,0.79
2007,San Francisco,791332,0.71,1.52
2007,San Joaquin,669739,1.34,1.41
2007,San Luis Obispo,264161,1.37,0.62
2007,San Mateo,704271,0.68,0.57
2007,Santa Barbara,416648,1.9,0.74
2007,Santa Clara,1736327,0.94,0.77
2007,Santa Cruz,257602,1.4,0.82
2007,Shasta,175849,1.7,0.82
2007,Sierra,3344,1.53,1.3
2007,Siskiyou,44861,1.52,1.07
2007,Solano,412635,1.23,1.28
2007,Sonoma,472987,1.37,0.82
2007,Stanislaus,508375,1.28,1.54
2007,Sutter,92502,1.1,1.08
2007,Tehama,62011,1.71,1.19
2007,Trinity,13790,1.37,1.07
2007,Tulare,423608,1.53,1.46
2007,Tuolumne,56132,1.41,1.08
2007,Ventura,805912,1.17,0.84
2007,Yolo,194854,1.11,1.13
2007,Yuba,70220,1.98,1.58
2008,Alameda,1491781,0.93,0.95
2008,Alpine,1208,1.51,1.16
2008,Amador,37867,0.89,0.92
2008,Butte,218485,1.55,0.81
2008,Calaveras,45700,0.97,0.85
2008,Colusa,21174,1.76,1.05
2008,Contra Costa,1033291,0.7,0.86
2008,Del Norte,28573,1.55,1.18
2008,El Dorado,178598,0.91,0.8
2008,Fresno,913238,1.35,1.33
2008,Glenn,28118,1.86,1.18
2008,Humboldt,133202,1.88,1.01
2008,Imperial,170103,1.25,1.18
2008,Inyo,18384,1.71,0.99
2008,Kern,819891,1.45,1.44
2008,Kings,151833,1.48,0.94
2008,Lake,64371,1.64,1.22
2008,Lassen,35120,0.79,0.69
2008,Los Angeles,9796811,0.91,1.06
2008,Madera,149114,0.87,0.92
2008,Marin,250289,0.87,0.54
2008,Mariposa,18386,1.06,0.79
2008,Mendocino,87782,1.62,1.42
2008,Merced,251933,1.61,1.47
2008,Modoc,9622,1.05,1.17
2008,Mono,14072,1.18,0.92
2008,Monterey,410878,1.11,0.91
2008,Napa,134787,0.94,0.81
2008,Nevada,98679,0.85,0.53
2008,Orange,2982789,0.84,0.67
2008,Placer,337915,0.84,0.91
2008,Plumas,20369,1.6,1.17
2008,Riverside,2122920,0.7,0.87
2008,Sacramento,1400938,0.87,1.12
2008,San Benito,55043,1.07,0.98
2008,San Bernardino,2016526,1.13,1.36
2008,San Diego,3051262,0.95,0.79
2008,San Francisco,798672,0.69,1.71
2008,San Joaquin,675247,1.41,1.38
2008,San Luis Obispo,266849,1.35,0.61
2008,San Mateo,711373,0.67,0.57
2008,Santa Barbara,419971,2.09,0.72
2008,Santa Clara,1759535,0.9,0.77
2008,Santa Cruz,259872,1.53,0.85
2008,Shasta,176631,1.83,0.8
2008,Sierra,3284,1.61,0.85
2008,Siskiyou,45040,1.3,1.08
2008,Solano,413168,1.08,1.15
2008,Sonoma,476649,1.37,0.83
2008,Stanislaus,510395,1.17,1.42
2008,Sutter,93466,1.11,1.04
2008,Tehama,62723,1.76,1.21
2008,Trinity,13730,1.42,1.15
2008,Tulare,431474,1.38,1.38
2008,Tuolumne,56061,1.36,1.17
2008,Ventura,812026,1.17,0.83
2008,Yolo,197588,1.07,1.04
2008,Yuba,71423,1.65,1.38
2009,Alameda,1503827,0.95,0.98
2009,Alpine,1178,2.69,1.08
2009,Amador,37905,0.81,0.97
2009,Butte,219287,1.57,0.81
2009,Calaveras,45563,0.81,0.87
2009,Colusa,21271,1.65,1.03
2009,Contra Costa,1043502,0.68,0.89
2009,Del Norte,28559,1.7,1.22
2009,El Dorado,179701,1.01,0.9
2009,Fresno,923895,1.31,1.29
2009,Glenn,28058,1.75,1.23
2009,Humboldt,133766,2.13,1.27
2009,Imperial,173241,1.49,1.19
2009,Inyo,18449,1.76,0.88
2009,Kern,831136,1.46,1.45
2009,Kings,151794,1.31,0.81
2009,Lake,64396,1.84,1.41
2009,Lassen,34773,0.97,0.66
2009,Los Angeles,9805230,0.93,1.03
2009,Madera,150150,0.86,0.88
2009,Marin,251229,0.88,0.57
2009,Mariposa,18282,1.08,0.87
2009,Mendocino,87570,1.6,1.49
2009,Merced,254122,1.45,1.4
2009,Modoc,9633,1.23,1.18
2009,Mono,14076,1.41,0.9
2009,Monterey,413593,1.1,0.91
2009,Napa,135664,0.98,0.88
2009,Nevada,98432,0.9,0.63
2009,Orange,2998815,0.85,0.69
2009,Placer,344089,0.79,0.87
2009,Plumas,20065,1.65,1.26
2009,Riverside,2158399,0.71,0.89
2009,Sacramento,1411404,0.88,1.12
2009,San Benito,55092,1.01,0.9
2009,San Bernardino,2022321,1.07,1.33
2009,San Diego,3077635,0.97,0.83
2009,San Francisco,801799,0.7,1.65
2009,San Joaquin,680421,1.32,1.29
2009,San Luis Obispo,268224,1.42,0.67
2009,San Mateo,716263,0.7,0.61
2009,Santa Barbara,422423,2.21,0.78
2009,Santa Clara,1774891,0.83,0.76
2009,Santa Cruz,261912,1.53,0.97
2009,Shasta,176882,1.69,0.87
2009,Sierra,3241,1.46,1.03
2009,Siskiyou,44951,1.52,1.21
2009,Solano,412488,0.99,1.05
2009,Sonoma,480598,1.33,0.89
2009,Stanislaus,512053,1.07,1.43
2009,Sutter,94371,1.18,1
2009,Tehama,63122,1.74,1.47
2009,Trinity,13772,1.46,1.39
2009,Tulare,438408,1.34,1.43
2009,Tuolumne,55257,1.43,1.29
2009,Ventura,818545,1.2,0.87
2009,Yolo,199699,1.04,1.01
2009,Yuba,71798,1.58,1.36
2010,Alameda,1513005,0.94,0.94
2010,Alpine,1233,2.01,1.01
2010,Amador,38487,0.83,1.17
2010,Butte,220273,1.6,0.84
2010,Calaveras,45654,0.94,0.97
2010,Colusa,21642,1.71,1.12
2010,Contra Costa,1051553,0.68,0.93
2010,Del Norte,28822,1.57,1.56
2010,El Dorado,181567,0.94,0.86
2010,Fresno,932969,1.22,1.31
2010,Glenn,28292,1.58,1.37
2010,Humboldt,136056,2.23,1.33
2010,Imperial,175520,1.44,1.3
2010,Inyo,18823,1.61,0.96
2010,Kern,846568,1.43,1.48
2010,Kings,154276,1.63,0.92
2010,Lake,64854,1.74,1.45
2010,Lassen,35030,0.99,0.94
2010,Los Angeles,9824194,0.96,1.04
